Item,თარგმანი
"მათარა, პლასტმასის, ფართე ყელით ბოთლი","wide mouth bottle, 500 ml, 50 mm"
შპატელების ნაკრები,"spatula set, from roth selection"
Copper Masking Reagent Powder Pillows,სპილენძის განმსაზღვრელი რეაგენტი
სტერილური ინდიკატორის ეტიკეტები,sterile indicator labels comply™
"Copper Reagent Set, 2 - 210 µg/L Cu",სპილენძის განმსაზღვრელი რეაგენტი
Carbonate/carbon dioxide cuvette test,კარბონატების განსაზღვრის ნაკრები
"მათარა, ბოთლი პლასტმასის ფართეყელიანი","wide mouth bottle, 500 ml, 50 mm"
Mineral stabiliser solution,მინერალების სტაბილიზაციის ხსნარი
Nitrate cuvette test,ნიტრატების განმსაზღვრელი ნაკრები
"pipette tips rotilabo® 1000 µl, standard, bag, 500 unit(s), non-sterile, colourless from  roth selection",პიპეტის 1000 µლ უსტერილო წვერები
colony counter cc-200,კოლონიების დამთვლელი მოწყობილობა
"Conductivity Standard Solution, 12.88 mS/cm, KCl, 500 mL",კონდუქტივობის სტანდარტული ხსნარი
Phosphate (ortho/total) cuvette test,ფოსფატების განმსაზღვრელი ნაკრები
"Stablcal Turbidity 
Standards Calibration 
Kit, 0 - 7500 NTU","სტანდარტების კალიბრაცია
ნაკრები"
"single-channel microlitre pipette rotilabo®, 100 to 1000 µl",ერთარხიანი მიკროლიტრიანი პიპეტი
"Sension+ MM340 GLP Laboratory pH and ISE Meter with Electrode Stand, Magnetic
Stirrer and Accessories with Electrode for General Use
",ლაბორატორიული წყლის ანალიზატორი
Ammonia Standard Solution,ამონიუმის განმსაზღვრელი ნაკრები
Magnetic stirring bar,მაგნიტი მაგნიტური სარეველასთვის
"SulfaVer 4 Sulfate Reagent Powder Pillows, 2-70mg/L SO₄",სულფატების განსაზღვრის რეაგენტი
გამწმენდი (lifting) სისტემა,hebefix 200-50 above floor tank
მცირე ზომის რეზერვუარი ტუმბოსთვის,hebefix 200-50 above floor tank
ქიმიკატის დოზირების ტუმბო,dda 12-10 ar-pvc/v/c-f-31i002fg
"Singlet Single-Use pH Buffer, pH 4.01, pk/20",ერთჯერადი გამოყენების pH ბუფერი
vario nitri 3 f10 nitrite pp 0.01 - 0.3 mg/l n,ნიტრიტის განმსაზღვრელი რეაქტივი
"nitrate tube test reagent set, 25 tests",ნიტრატის განმსაზღვრელი რეაქტივი
Ammonium cuvette test,ამონიუმის განმსაზღვრელი ნაკრები
Solenoid valve 3/2 NO w/o-ring,სოლენოიდური ვალვო რგოლის გარეშე
Installation kit for 5500sc Silica/Phosphate analyzers,ანალიზატორის ნაკრები მოვლისთვის
Aqua TROLL სენსორი ქლოროფილ a–ს დასადგენად,aqua troll chlorophyll a sensor
"scandium icp standard solution, 100 ml",სკანდინიუმის სტანდარტული ხსნარი
"pH Electrode Storage Solution, 500 mL",pH ელექტროდების შესანახი ხსნარი
sulfate turbidity - tablet reagents,სულფატის განმსაზღვრელი რეაქტივი
ტუმბოს სამაგრი მილი,fbdn100 hard pipe wf/ wg series
"Snapper, Accuvac",ხელსაწყო  ამპულების გასახსნელად
Quick connector for forcing gas tube,სწრაფი შეერთება გაზის მილისთვის
"Mineral stabiliser 
solution, 50 mL, SCDB","მინერალური სტაბილიზატორი
ხსნარი"
TL23 Series Turbidimeter Lamp Assembly,ტურბიდიმეტრის ნათურის კომპლექტი
პეპელას ტიპის სარქველი,"buttefly valve disc316/epdm 4"""
"Stablcal Turbidity Standard, 200 NTU, 500 mL",სტაბილკალ ტურბიდობის სტანდარტი
"Ammonia Reagent Set, Nessler, 0.02-2.50 mg/L NH₃-N",ამიაკის განმსაზღვრელი რეაგენტი
Cadmium sulfate octahydrate,კადმიუმის სულფატის ოქტაჰიდრატი
"Nitrite cuvette test 0.015- 0.6 mg/L NO₂- N, 25 tests",ნიტრატების განმსაზღვრელი ტესტი
"Iron Reagent Powder Pillows, 0.02-3.00 mg /L Fe",რკინის განსაზღვრელი რეაგენტები
EASYCONTROLLER M20-240,ელექტრონული მართვის კომპონენტი
"Vial Compartment Wiper for TU5300sc and TU5400sc, pk/10",ფლაკონის განყოფილების საწმენდი
Citric acid F reagent solution,ლიმონმჟავას სტანდარტული ხსნარი
"Disposable paper tissues, white, 200 pieces",ერთჯერადი ქაღალდის ხელსახოცები
შემრევის მაგნიტების ნაკრები,magnetic bar set rotilabo® # 2
"Reagent solution, amino acid F, 20 ampules (ultra-low range)",ამინომჟავის სტანდარტული ხსნარი
"Silica Reagent Set, 3
1000 µg/L SiO₂",სილიციუმის რეაგენტების ნაკრები
"Manganese Reagent Set, Powder Pillows, 0.1-20.0mg/L Mn",მაგნიუმის გნმსაზღვრელი ნაკრები
Titration Application Pack Generic Chemistry: Acid/Base,ავტომატური ტიტრატორის პროგრამა
"E. coli and total coliforms, pk/25","კოლიფორმების საერთო რაოდენობა,"
Adapter for BOD direct plus,ადაპტერი  პირდაპირი პლუსისთვის
"Silica Reagent Set, 1
100 mg/L SiO",სილიციუმის რეაგენტების ნაკრები
"Silica Reagent Set, 3",სილიციუმის რეაგენტების ნაკრები
უკუსარქველი სარქველი,check valve f-f 1½” pn16 brass
"Intellical CDC401 Field 4-Poles Graphite Conductivity Cell, 5 m Cable",CDC401 ველური გამტარობის ზონდი
"Molybdenum Reagent Set, 20 mL, LR Molybdenum Reagent Set, 0.02-3.00mg/L Mo",მოლიბდენის რეაგენტების ნაკრები
პეპელა ტიპის სარქველი,"buttefly valve disc316/epdm 4"""
"funnels rotilabo®, 125 mm, suitable for: paper filter ø 185 mm","ძაბრები, ქაღალდის ფილტრისთვის "
"Silica Reagent Set, 1",სილიციუმის რეაგენტების ნაკრები
Solitax inline sc,წყლის სამღვრევის მზომი სენსორი
Molybdate 3 reagent solution,მოლიბდატის სტაბდარტული ხსნარი
"Conductivity Standard Solution, 12.88 mS/cm, KCl, 125 mL",გამტარობის სტანდარტული ხსნარი
Formazin Turbidity Standard,სიმღვრივის სტანდარტული ხსნარი
"Reagent solution, amino 
acid F, 20 ampules 
(ultra-low range","რეაგენტის ხსნარი, ამინო
მჟავა"
COD cuvette test 100-,ქიმიური ჟანგვის ტესტი კუვეტით
"Intellical MTC301 Laboratory General Purpose Refillable ORP/RedOx Electrode, 1 m",ელექტროდი წყალში ჟაპ-ის მზომი
"desiccator base duran® mobilex with gl 32 thread, dn 300, 18.5 l",Mobilex-ის ფუძიანი ექსიკატორი
Nitrate Standard Solution,ნიტრატების სტანდარტული ხსნარი
StablCal solution 200 NTU 100 mL bottle,სიმღვრივის სტანდარტული ხსნარი
Ferric Ion Solution,რკინის იონური სტანტული ხსნარი
COD cuvette test 15-,ქიმიური ჟანგვის ტესტი კუვეტით
სერთიფიკატი,stainless 304 tag plate (rcs)
წყლის მრიცხველის კონტროლერი,mfc 400 (er 2.x.x) 12-24 v dc
Thermistor assembly with O-rings,თერმისტორის აწყობა O-რგოლებით
ZincoVer 5 Zinc Reagent Powder Pillows,თუთიის განმსაზღვრელი რეაგენტი
ელექტრო სარქველი,star alfa 30 electrical valve
ჰიდროციკლონის ფილტრი,hydrocyclone separator filter
წნევის შემცირების სარქველი,41-23 pressure reducing valve
სიგნალის კონვერტორი,mfc 400 (er 2.x.x) 12-24 v dc
"COD cuvette test 15-
150 mg/L O₂, 25 tests",ქიმიური ჟანგვის ტესტი კუვეტით
"Silica Reagent Set,
0.010-1.600 mg/L SiO₂",სილიკატის რეაგენტების ნაკრები
"COD cuvette test 100-
2000 mg/L O₂, 25 tests",ქიმიური ჟანგვის ტესტი კუვეტით
"Nitrate Standard Solution, 100 mg/L, 500 mL",ნიტრატების სტანდარტული ხსნარი
"Sulfide Reagent Set, 5 - 800 µg/L S²⁻",სულფიდური რეაგენტების ნაკრები
"Sulfate Standard Solution, 50 mg/L as SO4 (NIST), 500 mL",სულფატების სტანდარტული ხსნარი
Copper Reagent Set,სპილენძის განსაზღვრის ნაკრები
Secondary Turbidity Standard,სიმღვრივის აპარატის სტანდარტი
"Silica Reagent Set, 3-",სილიკატის რეაგენტების ნაკრები
"Silica Reagent Set, 3-
1000 μg/L SiO₂",სილიკატის რეაგენტების ნაკრები
"Sample Cell: 1"" Square Glass",ნიმუშის ასაღები მინის კიუვეტა
Conductivity Standard Solution,გამტარობის სტანდარტული ხსნარი
"Copper standard solution, 100 mg/L as Cu (NIST), 100 mL",მოლიბდენის სტანდარტული ხსნარი
"Nitrate Reagent Powder Pillows,",ნიტრატის განსაზღვრის რეაგენტი
წყლის მრიცხველი,"optiflux 2050 c, dn 300 pn 16"
მულტიმედიური ფილტრაციის სისტემა,multimedia filtration  system
"Digital extension cable for SC sensors, 30m",ციფრული დამარგძელებელი კაბელი
Sulphate standard solution,სულფატების სტანდარტული ხსნარი
სამონტაჟო კაბელი,installation cable 2x2x0.5mm²
"Free Chlorine Reagent Powder Pillows,",ქლორის განსაზღვრის რეაგენტი 
magnetic bar set rotilabo® # 2,მაგნიტური შემრევის მაგნიტები
vgkl optibar lc 1010,წყალში დონის და წნევის მზომი
"SENSION+ Standard ORP/Redox solution, 220 mV, 250mL",სტანდაარტული რედოქსის ხსნარი
"kit mech seal cs d16
qqeff
vdroo10-15-20",მექანიკური მბეჭდავის ნაკრები
Chemicals for Basic kit for annual,ქიმიკატების ძირითადი ნაკრები
აზოტი,nitrogen (total) 0 - 25 mg/l
"Intellical PHC101 Field Low Maintenance Gel Filled pH Electrode, 10 m Cable",ელექტროდი წყლის ანალიზისთვის
Standard solution,მაგნიუმის სტანდარტული ხსნარი
"kit mech seal cs d22
ubvff
vdroo95",მექანიკური მბეჭდავის ნაკრები
"Chloride Reagent Set, 
0.1-25.0 mg/L Cl⁻",ქლორიდის რეაგენტების ნაკრები
"Water Hardness cuvette test 1-20 ° dH, 25 tests",წყლის სიხისტის ტესტ რეაგენტი
Secondary Turbidity Standard 0.1 NTU,მეორადი სიმღვრივის სტანდარტი
"Intellical MTC101 Field Low Maintenance Gel Filled ORP/RedOx Electrode, 10 m Cable",ელექტროდი წყლის ანალიზისთვის
 LTE ქსელზე მომუშავე მოწყობილობა (კარიბჭე) ,gateway trb141 lte cat 1 i/o
"Deminaraliser bottle, 177 mL",წყლის დემინერალიზატორი ბოთლი
სპექტროფოტომეტრის შეკეთება გერმანიაში,dr6000 service in düsseldorf
აზოტმჟავის ტესტი,nitrogen (total) 0 - 25 mg/l
"kit mech seal cs d16
qqegg
vdroo10-15-20",მექანიკური მბეჭდავის ნაკრები
"Standard solution magnesium, 1000 mg/L as Mg, 100 mL (NIST) Magnesium, hardness, standard solution",მაგნიუმის სტანდარტული ხსნარი
წყლის მრავალპარამეტრიანი საზომი სონდა,"aqua troll 700, non-pressure"
"Nitrate Reagent Set, Powder Pillows, 0.01-0.50 mg/L NO₃-N",ნიტრატის რეაგენტების ნაკრები
სერთიფიკატი KPS,certificate kps / order pos
"cooling bag fold’n cool™, 20 l, outer length: 320 mm",ჩანთა მაცივარი (არაციფრული)
"sulphate ic standard solution, 100 ml",სულფატის სტადნარტული ხსნარი
DR6000 service in Düsseldorf,DR მოწყობილობის მომსახურება
"SENSION+ Multisensor for pH, ORP & conductivity",მრავალსენსორული მოწყობილობა
"Standard solution, aluminum, 100 mg/L as Al (NIST), 100 mL","სტანდარტული ხსნარი, ალუმინი"
"nitrite ic standard solution, 100 ml",ნიტრიტის სტანდარტული ხსნარი
"nitrate ic standard solution, 100 ml",ნიტრატის სტანდარტული ხსანრი
ნედლი ნავთობის სენსორი,aqua troll crude oil sensor
"barium icp standard solution, 100 ml",ბარიუმის სტანდარტული ხსნარი
Aqua TROLL სენსორი ტურბიდობის დასადგენად,aqua troll turbidity sensor
Aluminium standard solution,ალუმინის სტანდარტული ხსნარი
"Standard solution, phosphate, 500 mg/L as PO4 (NIST), pk/16 - 10 mL Voluette ampules","სტანდარტული ხსნარი, ფოსფატი"
"ZoBell's ORP/Redox Standard Solution, 500 mL",რედოქსის სტანდარტული ხსნარი
Dissolved Oxygen Reagent Accuvac Ampules,გახსნილი ჟანგბადის რეაგენტი
"Set, Powder Pillows,","კომპლექტი, პუდრის ბალიშები,"
Ascorbic Acid,ასკორბინის მჟავა რეაგენტის 
transmitted light microscope obn series obn 135 trinocularfrom kern,გამტარი სინათლის მიკროსკოპი
Test Cuvette for TU5 Series,ტესტი კუვეტი TU5 სერიისთვის
Filter KG2,"ფილტრები, სპექტროფოტომეტრის"
"impeller wf ht200
wf100 80-25 11",ვენტილატორის შრე (იმპელერი)
Quality control standard hardness,სიხისტის სტანდარტული ხსნარი
"Glass sample cell for lab turbidimeters, 30 mL, 6 pieces with caps",ლაბორატორიული მინის ჭურჭელი
"pH 7.000 Certified Reference Material CRM Buffer Standard Solution, 500 mL",ბუფერული სტანდარტული ხსნარი
"""Sulphate standard",სულფატის სტანდარტული ხსნარი
COD standard,COD - ის სტანდარტული ხსნარი
ელექტრომაგნიტური ნაკადის სენსორი,"optiflux 4000, dn50, pn 40"
VuLink ლითიუმის ბატარეების ნაკრები,vulink lithium battery set
priox 50-500/11 m aut,ავტომატური წყალქვეშა ტუმბო
FerroZine Iron Reagent Solution Pillows,რკინის განსაღვრის რეაგენტი
"Silica Reagent Set for 5500
sc",სილიკას რეგენტების ნაკრები
Intellical MTC101 Laboratory Low Maintenance Gel Filled ORP/RedOx Electrode,ლაბორატორიული PH ელექტროდი
Intellical CDC401 Laboratory 4-Poles Graphite Conductivity Cell,ლაბორატორიული PH ელექტროდი
Intellical PHC101 Laboratory Low Maintenance Gel Filled pH Electrode,ლაბორატორიული PH ელექტროდი
Chloride cuvette test ,ქლორის განსაზღვრის ნაკრები
"Adapter Set, DR2700, DR2800, DR3800 Spectrophotometers",სპექტროფოტომეტრის ადაპტერი
"DRB 200 Dry thermostat with 2 blocks, 15x16mm, 6x16/4x20mm",მშრალი თერმოსტატი 2 ბლოკით
"Standard Solution, nickel, 1000 mg/L as Ni (NIST), 100 mL","სტანდარტული ხსნარი, ნიკელი"
potassium dichromate solution,კალიუმის ბიქრომატის ხსნარი
"Lenses A, B, C","ლინზები, სპექტროფოტომეტრის"
"Zinc Reagent Set, 0.01-2.00mg/L Zn",თუთიის რეაგენტების ნაკრები
Silica Reagent Set for 5500,სილიკას რეგენტების ნაკრები
თერმომეტრი,contact thermometer ets-d5
pH Electrode Storage,ელექტროდის შესანახი ხსნარი
მონტაჟის კომპლექტი PVC მასალით,kit i002 pvc/v/c-9/12mm-nl
Intellical PHC281 Water Quality Laboratory Refillable pH Electrode,ლაბორატორიული PH ელექტროდი
Iron Reagent Powder Pillows,რკინის განსაზღვრის ნაკრები
"Intellical PHC101 Field Low Maintenance Gel Filled pH Electrode, 5 m Cable",PHC101 ველური pH ელექტროდი
Spacer exhaust,სპეისერი გამონაბოლქვისთვის
Antifoam filling kit for 6110 V3,ქაფის შასაჩერებელი ნაკრები
"Sample cell, 1 inch round Glass, 1 pcs","ნიმუშის უჯრა, მრგვალი მინა"
"TOC (Purging Method) 
TNT, 0.3-20.0 mg/L C",TOC (გასუფთავების მეთოდი)
Filter Pad for DR 6000,ფილტრები სპექტოფოტომეტრის
ZoBell's ORP/Redox,რედოქს სტანდარტული ხსნარი
"o-ring set
wf100 80-25 11",ო-რგოლის ნაკრები – მოდელი
"mercury(ii) thiocyanate, 100 g",ვერცხლისწყლის თიოციანატი 
Sodium/Potassium Ionic,ნატრიუმის/კალიუმის იონური
"Chlorine standard solution,",ქლორის სტანდარტული ხსნარი
2100Q Portable Turbidimeter (EPA),სიმღვრივის მზომი აპარატი 
Iron standard solution 100.0,რკინის სტანდარტული ხსნარი
"Pole mounting hardware DO, swivel, 1"" NPT, PVC pole 2 m"," სენსორის სამაგრი, საკიდი"
"ZoBell's ORP/Redox
Standard Solution, 500
mL",რედოქს სტანდარტული ხსნარი
"Zinc Standard Solution, 100 mg/L as Zn (NIST), 100 mL",თუთიის სტანდარტული ხსნარი
"Standard solution chromium, hexavalent, 50 mg/L Cr⁶⁺ (NIST), 100 mL",ქრომის სტანდარტული ხსნარი
"Fluoride Standard Solution, 1 mg/L, 500 mL",ფტორის სტანდარტული ხსნარი
ფლომეტრის სიგნალის კონვერტერი,mfc 400 c - ex (er 2.x.x)
მონაცემთა ლოგერი,netdl 1000 ip data logger
"Natural Water Standard Solution, 1000 ppm Total Dissolved Solids (TDS), 500 ml",წყლის სტანდარტული ხსნარი
თერმოჰიგრომეტრი,thermohygrometer- y401.1
Nitrification inhibitor for BOD,ნიტრიფიკაციის ინჰიბიტორი
"Paddle tester, total aerobic bacteria, total coliforms, 10 pieces",წყლის ბაქტერიული ტესტერი
Nitrification Inhibitor,ნიტრიფიკაციის ინჰიბიტორი
AQUAMAX PRO XL1-B,წყლის ფილტრაციის სისტემა
"TitraVer EDTA Digital Titrator Cartridge, 0.0800 M",ტიტრატორის ედტა რეაგენტი
სონდის ანტიფაუუინგი,aqua troll 700/800 wiper
"Nitrification inhibitor NTH 600, 1 bottle, 25 mL",ნიტრიფიკაციის ინჰიბიტორი
Mineral stabiliser,მინერალური სტაბილიზატორი
Kit spring and cable for protection screen,დამცავის დამჭერი ზამბარა
"Nitrification Inhibitor, 50 mL",ნიტრიფიკაციის ინჰიბიტორი
mfc 400 c - ex,მასის ნაკადის კონტროლერი
"TitraVer EDTA Digital Titrator Cartridge, 0.800 M",ტიტრატორის ედტა რეაგენტი
"Buffer Solution Kit,",ბუფერული ხსნარის ნაკრები
piston vacuum pump rotilabo® cr-kp292,დგუშიანი ვაკუუმური ტუმბო
"Color Standard Solution, 500 Pt Co Units, 1 L",ფერის სტანდარტული ხსნარი
pH/ORP სენსორი Aqua TROLL მოწყობილობისთვის,aqua troll ph/orp sensor
"tin icp standard solution, 100 ml",კალას სტანდარტული ხსნარი
"Pair of sample cells, 10mm, Quartz",ნიმუშის უჯრედების წყვილი
"EDTA Digital Titrator Cartridge, 0.800 M","ციფრული ტიტრატორი ვაზნა,"
"Nitrification Inhibitor, 50",ნიტრიფიკაციის ინჰიბიტორი
moisture analysers ma35mfrom sartorius,ტენიანობის ანალიზატორები
სპეციალური ვენტილაცია,special ventilation jung
"Nitrification Inhibitor, 50
mL",ნიტრიფიკაციის ინჰიბიტორი
"Ammonium cuvette test 100-1,800 mg/L NH₄-N, 25 tests",ამონიუმის კიუვეტის ტესტი
ელექტო მოწყობილობა,electronic for optisound
ბურთულიანი სარქველი,ball valve f-f 1½” brass
Tungsten Lamp,ნათურა სპექტროფოტომეტრის
"
FerroVer Iron Reagent Powder Pillows (pk/100)",რკინის რეაგენტის ფხვნილი
ჰაერის ფილტრი,special ventilation jung
"Ammonium cuvette test
2.0-47.0 mg/L NH₄-N, 25
tests",ამონიუმის ტესტი კუვეტით
mmft300-1000e,Multimedia Filtration -
"Reagent solution, amino","რეაგენტის ხსნარი, ამინო"
Intellical PHC725 Laboratory pH electrode,ლაბორატორიული ელექტროდი
"supp diff 90m3 aisi304
vdroo90 pos. 9",დიფუზორის საყრდენი 90მ³
"bulk impeller 10m3
d100 aisi316 1 pc
vdroo10",იმპელერი (საშტატო) 10მ³
Stablcal Turbidity,სტანდარტების კალიბრაცია
დამაკავშირებელი კაბელი,usb connecting cable 3m
ცენტრიფუგული პომპა,pump - pvm 20-2 ft 50hz
სამაგრი კონსტრუქცია ,"mounting bracket 2"" rvs"
"Ammonium cuvette test
1.0-12.0 mg/L NH₄-N, 25
tests",ამონიუმის ტესტი კუვეტით
"Sulphate cuvette test 150-900 mg/L SO₄, 25 tests",სულფატის კიუვეტის-ტესტი
"Ammonium cuvette test
0.015-2.0 mg/L NH₄-N,
25 tests",ამონიუმის ტესტი კუვეტით
handheld refractometer digital dr series dr-301-95,პორტატული რეფრაქტომეტრი
handheld refractometer digital orf series,პორტატული რეფრაქტომეტრი
"Test kit, sulfate, model SF-1","ტესტ კიტი სულფატისთვის,"
"პოლიპროპილენის ჭიქა  დანაყოფებით, ავტოკლავირებადი","griffin beakers, 600 ml"
ელექტრონული პლატა,i/o (input/output) card
Phosphate Ortho,ფოსფატის ტესტ-კიუვეტები
"Ammonium cuvette test 0.5-5.0 mg/L NH₄-N, 25 tests",ამონიუმის კუვეტის ტესტი
მექანიკური დალუქვის კომპლექტი,mechanical seal kit-371
Nitrate cuvette test 5-,ნიტრიტის კუვეტის ტესტი
"BOD Standard Solution, 300 mg/L, pk/16 - 10-mL Voluette Ampules",ჟბმ სტანდარტული ხსნარი
SENSION+ ORP/Redox Gel electrode (BNC Connector),ელექტროდი ჟაპ-ის მზომი
Magnesium cuvette,მაგნიუმის ტესტ-კიუვეტი
Certificate of Origin,წარმოშობის სერთიფიკატი
"mixing cylinders class a, 50 ml",ცილინდრი ლაბორატორიული
Spacer intake,სპეისერი შთანთქმისთვის
Vial Compartment Lab EPA,კიუვეტის მოსათავსებელი
spoon spatulas stainless steel,ფოლადის კოვზ-სპატულები
Certificate of Origin (for customer),წარმოშობის სერთიფიკატი
"Nitrate cuvette test
0.23-13.5 mg/L NO₃-N,
25 tests",ნიტრიტის კუვეტის ტესტი
mmf200-36,Multimedia Filtration 
"Nitrite cuvette test
0.015- 0.6 mg/L NO₂-N,
25 tests",ნიტრიტის კუვეტის ტესტი
"Nitrate cuvette test 5-
35 mg/L NO₃-N, 25 tests",ნიტრიტის კუვეტის ტესტი
"Sampling bag, sterile with dechlorinating agent, 100 mL, 100 pcs",ნიმუშის ასაღები ტომარა
"ORP Standard Solution, ZOBELL'S
Cal. Std. for MTC, 500ml",ORP სტანდარტული ხსნარი
penetration thermometer digital,თერმომეტრი ელექტრონული
"disposable gloves rotiprotect® -nitril evo, size: m (7-8)",ერთჯერადი ხელთათმანები
"disposable gloves rotiprotect® -nitril evo, size: s (6-7)",ერთჯერადი ხელთათმანები
პოლიალუმინის ქლორიდი,polyaluminium chloride
"ORP Standard Solution, ZOBELL'S",ORP სტანდარტული ხსნარი
"ქიმიური ჭიქა  ფაიფურის, სახელურით 1300 მლ","casseroles, 1300 ml, 4"
დიაფრაგმები,"diaphragm 120 cm2, nbr"
basiclogo bd 00 e,ელექტრონული კონტროლერი
დოზირების სარქველი,"fv-nl-g5/4 pe/v,e/c u3"
წნევის რეგულატორი PVC მასალით,"prv-g5/4-10 pvc/v,e u3"
"Buffer solution pillows,",pH სტანდარტული ხსნარი
"Buffer Powder Pillows, pH 4.01 Colour-coded Red, pk/50",pH სტანდარტის ფხვნილი
"Buffer Powder Pillows, pH 7.00 Colour-coded Yellow, pk/50",pH სტანდარტის ფხვნილი
"Nitrite TNT, 0.002 - 0.500 mg/L NO₂-N",ნიტრატის კიუვეტ ტესტი
"pH Buffer Solution, pH 7.00, 500 mL",pH სტანდარტული ხსნარი
ჩანთა-ფილტრი,nonwoven 5 micron bag
"HQ4300 Portable Multi-Meter, p",პორტატული  მულტიმეტრი
"pH Buffer Solution, pH 4.01, 500 mL",pH სტანდარტული ხსნარი
Singlet Single-use ph Buffer,pH სტანდარტული ხსნარი
გლობუსის ტიპის სარქველი,globe valve type 3241
ხუთ მიკროონიანი ჩანთა,nonwoven 5 micron bag
"pH Buffer Solution, pH 10.01, 500 mL",pH სტანდარტული ხსნარი
გამშვები სარქველი,check valve h/b dn100
ნაკადის მზომი,"optiflux 4050 c, dn50"
Strength Adjustor (ISA),სიძლიერის რეგულირება 
eco 100,Ultraviolet Sytem UV 
"potassium permanganate, 1 kg ≥99 %, ph. eur., usp, bp",კალიუმის პერმანგანატი
Disposable paper tissues,ერთჯერადი ხელსახოცები
Singlet Single-Use pH,pH სტანდარტული ხსნარი
ჩაძირული ტუმბო,priox 50-500/11 m aut
special ventilation jung,სპეციალური ვენტილაცია
IFM UGT525 Ultrasonic sensor,ულტრაბგერითი სენსორი
"Incubator, Hach portable, 12 VDC, 30 - 50 °C (± 0.5 °C)",პორტატული ინკუბატორი
Amidosulphonic acid,ამიდო სულფონის მჟავა
"Turbidity Standard, Stablcal, 200 NTU, 100 mL",ტურბიდობის სტანდარტი
"Stablcal Turbidity Standard, 800 NTU, 100 mL",ტურბიდობის სტანდარტი
"Incubator, Hach 
portable, 12 VDC, 30 
- 50 °C (± 0.5 °C)
",პორტატული ინკუბატორი
aoc-200,PRE-FILTRATION UNIT 
"Turbidity Standard, Stablcal",სიმღვრივის სტანდარტი
მასის სენსორი,optimass mfs 1000 15
ტრიეთანოლამინი,"triethanolamine, 1 l"
"Cable Assembly, Pinch Valve, 2 Way, NC, Process Analyze",პინჩ-სარქველი კაბელი
 სითხის ნაკადის მზომი DN150 მილში,"optiflux 4000, dn150"
 სითხის ნაკადის მზომი DN200 მილში,"optiflux 4000, dn200"
დამტვრევის სისტემიანი სატუმბი ,multicut-pump 35/2 m
 სითხის ნაკადის მზომი DN100 მილში,"optiflux 4000, dn100"
 სითხის ნაკადის მზომი DN250 მილში,"optiflux 4000, dn250"
"Cable Assembly, Pinch Valve, 2 Way, Process Analyzer",პინჩ-სარქველი კაბელი
ნაკადის სენსორი სიგნალის გადამყვანებთან კომბინაციისთვის,optimass mfs 3000 03
"Orbisphere K1100 LDO Sensor Kit, 0-2000 ppb, 410 controller, ¼"" flow chamber, wall mount",სენსორული კონტროლერი
optiflux 6300 c dn65,მაგნიტური დებიტმეტრი
ufc 400 c,სიგნალის კონვერტორი
Sample tube assembly for 6110 V3,ნიმუშების სინჯარები
ifc 300 c,სიგნალის გადამყვანი
"Amino Acid F Reagent Solution, 100mL",ამინო-მჟავის ხსნარი
OPTISOUND 3020 C-1 და SU 600,წყლის დონის მზომები
"Assembly, Colorimeter, Silica",სილიკის კოლორიმეტრი
"Sample cell, 10 mm square Quartz glass, 1 pcs",წყლის ნიმუშის კოლბა
 სითხის ნაკადის მზომი DN50 მილში,"optiflux 4000, dn50"
PAN Indicator Solution, ინდიკატორის ხსნარი
წყლის ფილტრი,gpg 900 step screen
"water still puridest made of stainless steel pd series, pd 4, 4 l/h from lauda",წყლის გამაცხელებელი
"Reagent Set, 3-450µg/L",რეაგენტების ნაკრები
Oxygen Scavenger,ჟანგბადის გამწმენდი
Phosphonate Reagent,ფოსფონატის რეაგენტი
TIME CONTROLLED SINGLE SOFTENER,წყლის დამარბილებელი
"bulk impeller 95m3
d154 aisi304 1 pc
vdroo95",იმპელერი (საშტატო)
"bulk impeller 10m3
d100 aisi304 1 pc
vdroo10",იმპელერი (საშტატო)
"Polyvinyl alcohol dispersing agent,",პოლივინილის სპირტი
Buffer Solution Kit,სტანდარტული ხსნარი
"CKT Board Assembly, Leak Detector, 5500",გაჟონვის დეტექტორი
Polyvinyl alcohol,პოლივინილის სპირტი
"8226_01 titrating burette according to dr schilling automatic, 10 ml",ავტომატური ბიურეტი
"dispersing agent, SCDB,",დისპერსიული აგენტი
ტუმბოს დოზირების საქშენი,dosing pump noozle
IFC 050 Cover Display Window Alu,მრიცხველის სამაგრი
"volumetric flasks blaubrand® class a clear glass, pp stopper, 50 ml, 12/21","მზომი კოლბა, შუშის"
"sodium salicylate, 250 g",ნატრიუმის სილიკატი
Deuterium Lamp for DR 5000,დეიტერიუმის ნათურა
"Replacement Adapter A, DR3900",შემცვლელი ადაპტერი
ფლიანეცი,flange raised face
"volumetric flasks class a transparent, 100 ml, 14/23","მზომი კოლბა, შუშის"
სიგნალის გადამყვანი მასის ნაკადის მრიცხველებისთვის,mfc 400 (er 2.x.x)
ელექტრომაგნიტური ნაკადის გადამყვანი სენსორთან კომბინაციისთვის,ifc 400 f ex - sil
Addista Multi parameter standard solution- LCA707,სტანდარტული ხსნარი
"Electronic Pipet ''TenSette plus'', 0.2 up to 5.0 ml, with rack, battery and power supply",ელექტრონული პიპეტი
სარქველი,checkvalve 4x6 v 1
LDO Sensorkappe für,LDO სენსორის ქუდი
"2,6-Dimethylphenol","2,6-დიმეთილფენოლი"
